,daily_return
232,0.015241678401654468
233,-0.008735821546486333
234,0.00895310510352676
235,0.029486131736091714
236,0.0046204590526215394
237,-0.0041318430495544956
238,0.0038418032903084764
239,-0.013253711824239067
240,-0.01181973788888746
241,0.016541367565110265
242,-0.01716788039655326
243,-0.014053570239617286
244,-0.0028115757834689115
245,0.012773700571367064
246,0.018918971305111
247,0.001316823256102273
248,0.0062626131230072435
249,-0.010914222241605764
250,0.00038584581837830534
251,-0.003426529137787626
252,-0.009061475144276687
